iter	Passed	Remaining
166	6795	13551
167	6833	13503
168	6871	13458
169	6910	13414
170	6958	13387
171	6995	13339
172	7034	13296
173	7086	13277
174	7140	13260
175	7178	13215
176	7207	13153
177	7238	13093
178	7272	13041
179	7312	12999
180	7361	12974
181	7400	12930
182	7448	12903
183	7498	12877
184	7542	12842
185	7590	12814
186	7645	12796
187	7688	12759
188	7731	12722
189	7774	12684
190	7813	12640
191	7853	12598
192	7902	12569
193	7969	12569
194	8018	12542
195	8064	12508
196	8109	12473
197	8136	12410
198	8179	12372
199	8215	12322
200	8244	12263
201	8268	12198
202	8303	12148
203	8343	12106
204	8375	12052
205	8407	11999
206	8437	11942
207	8480	11904
208	8514	11854
209	8549	11805
210	8584	11757
211	8619	11709
212	8671	11684
213	8708	11638
214	8744	11591
215	8771	11532
216	8797	11473
217	8833	11426
218	8858	11366
219	8887	11311
220	8915	11255
221	8945	11202
222	8980	11154
223	9026	11121
224	9070	11085
225	9123	11060
226	9174	11033
227	9220	11000
228	9259	10957
229	9302	10919
230	9353	10892
231	9406	10865
232	9458	10838
233	9509	10810
234	9552	10772
235	9597	10736
236	9632	10689
237	9674	10649
238	9716	10610
239	9760	10574
240	9792	10524
241	9831	10481
242	9876	10445
243	9917	10405
244	9958	10364
245	10003	10328
246	10044	10288
247	10088	10251
248	10145	10227
249	10187	10187
250	10221	10140
251	10272	10109
252	10321	10076
253	10366	10040
254	10406	9998
255	10443	9953
256	10493	9922
257	10533	9879
258	10562	9828
259	10584	9770
260	10614	9719
261	10648	9672
262	10687	9630
263	10716	9580
264	10752	9535
265	10792	9493
266	10838	9458
267	10876	9415
268	10939	9393
269	11001	9371
270	11060	9346
271	11114	9316
272	11178	9294
273	11247	9276
274	11292	9239
275	11345	9207
276	11404	9181
277	11453	9146
278	11500	9109
279	11556	9080
280	11607	9046
281	11652	9008
282	11691	8964
283	11727	8919
284	11786	8891
285	11836	8856
286	11895	8828
287	11931	8782
288	11973	8742
289	12011	8697
290	12048	8653
291	12085	8608
292	12120	8562
293	12154	8516
294	12195	8475
295	12235	8432
296	12287	8398
297	12330	8358
298	12374	8318
299	12411	8274
300	12448	8230
301	12485	8185
302	12525	8143
303	12566	8101
304	12606	8059
305	12646	8017
306	12691	7978
307	12747	7946
308	12784	7902
309	12823	7859
310	12865	7818
311	12906	7777
312	12934	7727
313	12968	7681
314	12996	7633
315	13027	7585
316	13057	7538
317	13079	7485
318	13109	7438
319	13139	7391
320	13169	7343
321	13193	7293
322	13225	7247
323	13255	7200
324	13294	7158
325	13325	7112
326	13360	7068
327	13407	7030
328	13436	6983
329	13474	6941
330	13514	6900
331	13553	6858
332	13604	6822
333	13647	6783
334	13687	6741
335	13722	6697
336	13763	6657
337	13808	6618
338	13845	6575
339	13884	6533
340	13932	6496
341	13992	6464
342	14041	6427
343	14099	6393
344	14143	6354
345	14183	6312
346	14236	6277
347	14278	6236
348	14331	6200
349	14377	6161
350	14423	6122
351	14464	6081
352	14499	6037
353	14540	5997
354	14576	5953
355	14616	5912
356	14661	5872
357	14711	5835
358	14764	5798
359	14798	5755
360	14845	5716
361	14889	5675
362	14933	5636
363	14975	5595
364	15005	5549
365	15030	5503
366	15067	5460
367	15105	5418
368	15142	5375
369	15183	5334
370	15233	5296
371	15281	5258
372	15318	5215
373	15360	5174
374	15399	5133
375	15438	5091
376	15471	5047
377	15517	5008
378	15559	4967
379	15599	4926
380	15656	4889
381	15690	4846
382	15728	4804
383	15765	4762
384	15798	4718
385	15827	4674
386	15856	4629
387	15889	4586
388	15926	4544
389	15964	4502
390	15989	4457
391	16027	4415
392	16071	4375
393	16112	4334
394	16152	4293
395	16211	4257
396	16256	4217
397	16295	4176
398	16337	4135
399	16370	4092
400	16404	4049
401	16440	4007
402	16480	3966
403	16512	3923
404	16551	3882
405	16590	3841
406	16625	3798
407	16654	3755
408	16692	3713
409	16732	3673
410	16778	3633
411	16821	3593
412	16861	3551
413	16892	3509
414	16936	3468
415	16994	3431
416	17035	3390
417	17076	3349
418	17128	3311
419	17171	3270
420	17213	3230
421	17252	3188
422	17303	3149
423	17354	3110
424	17394	3069
425	17436	3028
426	17488	2989
427	17538	2950
428	17594	2911
429	17648	2872
430	17682	2830
431	17719	2789
432	17759	2748
433	17810	2708
434	17856	2668
435	17898	2627
436	17934	2585
437	17977	2544
438	18020	2503
439	18061	2462
440	18116	2423
441	18161	2383
442	18197	2341
443	18241	2300
444	18283	2259
445	18324	2218
446	18371	2178
447	18419	2137
448	18454	2096
449	18491	2054
450	18527	2012
451	18569	1972
452	18595	1929
453	18628	1887
454	18666	1846
455	18703	1804
456	18739	1763
457	18786	1722
458	18822	1681
459	18868	1640
460	18908	1599
461	18956	1559
462	19010	1519
463	19043	1477
464	19075	1435
465	19122	1395
466	19161	1353
467	19207	1313
468	19248	1272
469	19286	1231
470	19316	1189
471	19341	1147
472	19374	1105
473	19409	1064
474	19436	1022
475	19465	981
476	19489	939
477	19520	898
478	19552	857
479	19578	815
480	19603	774
481	19638	733
482	19672	692
483	19718	651
484	19752	610
485	19785	569
486	19818	529
487	19842	487
488	19864	446
489	19887	405
490	19913	365
491	19938	324
492	19963	283
493	19987	242
494	20010	202
495	20030	161
496	20044	120
497	20063	80
498	20077	40
499	20091	0
