iter	RMSE
0	0.3768590471
1	0.3644751483
2	0.3526396819
3	0.3420750657
4	0.3309714536
5	0.3206455154
6	0.3114011762
7	0.3026878517
8	0.294130604
9	0.2865315243
10	0.2792701095
11	0.2722256762
12	0.2649647509
13	0.2577174035
14	0.251195225
15	0.2445912989
16	0.2388677627
17	0.2327058416
18	0.227719335
19	0.2225815326
20	0.2182639769
21	0.2139153922
22	0.2092573654
23	0.2056017
24	0.2015885583
25	0.1976198247
2626	0.1996437002727	0.1956849982828	0.1924237253
29	0.1886098583
30	0.1850269815
31	0.1822811884
32	0.1795150734
33	0.1768730653
34	0.174579721
35	0.1717135715
36	0.1688362922
37	0.1665621864
38	0.164262061
39	0.1620399569
40	0.1598171803
41	0.157942959
42	0.1560428488
43	0.1542101699
44	0.1522397372
45	0.150164725
46	0.1485441385
47	0.147063764
48	0.1458259968
49	49	0.1480588850	50	0.1467383751	51	0.1453429052	52	0.1441596453	53	0.143231987
54	0.1420676512
55	0.1409811433
56	0.1399534985757	0.1388967235858	0.13767259	59	0.136571860	060	0.13138461	0.61	0.13063962	0.62	0.1297863	0.163	0.128864	0.1264	0.127865	0.1265	0.12766	0.12466	0.12667	0.12467	0.1268	0.123368	0.1269	0.122469	0.1270	0.1217245472
71	0.1210068818
72	0.1204886964
73	0.119573	0.1274	0.1187129954
75	0.1181000159
76	0.1176216218
77	0.11694338
78	0.116320771
79	0.1158215049
80	0.1151072725
81	0.1145696549
82	0.1141042975
83	0.1135025709
84	0.1128553619
85	0.1123631251
86	0.1120367073
87	0.1116613018
88	0.1113479383
89	0.1109634696
90	0.1103615601
91	0.1100395091
92	0.1095484006
93	0.1093368499
94	0.1090653159
95	0.1085758858
96	0.1083190457
97	0.1080032074
98	0.1078171707
99	0.107806157
100	0.1074191961
101	0.1072386768
102	0.1068543679
103	0.106483454
104	0.1061015412
105	0.1057062933
106	0.1053964508
107	0.1050938532
108	0.1046244052
109	0.1041935808
110	0.1040068501
111	0.1037147363
112	0.103289427
113	0.1030030645
114	0.1028836542
115	0.1026976731
116	0.102322031
117	0.1020021911
118	0.1016662537
119	0.1015322833
120	0.1011656624
121	0.1011581728
122	0.1007259744
123	0.1003081245
124	0.09996266474
125	0.09963947076
126	0.09954030613
127	0.09937069646
128	0.09919675275
129	0.09914510491
130	0.09877681179
131	0.09858778698
132	0.09843968369
133	0.09817439179
134	0.097945474613135	0.097811720136136	0.0974990137	0137	0.097167138	0.138	0.09686139	0.1139	0.09666987119
140	0.096141	0.100141	0.09142	0.1003142	0.0143	0.10016143	0.144	0.099828144	0.145	0.0996204699
146	0.09942912479
147	0.09931147	0.0148	0.09912148	0.0149	0.09893149	0.0150	0.09868150	0.0151	0.09852151	0.0152	0.09835152	0.0153	0.09809153	0.0154	0.09796925022
155	0.09792295155
156	0.09768568923
157	0.09758952071
158	0.0974753972
159	0.09729766697
160	0.09715140614
161	0.09712016774
162	0.0162	0.09571163	0.0163	0.09549164	0.0164	0.09531165	0.0165	0.09525166	0.0166	0.09519167	0.0167	0.09515168	0.0168	0.09496446708
169	0.09485994504
170	0.0946933401
171	0.09438773369
172	0.09434649619
173	0.09429595522
174	0.09397054045
175	0.09391825788
176	0.09353958288
177	0.09330785824
178	0.09326463218
